geoid,geoid_str,load
060014220001,"1 (Tract 4220, Alameda, CA)",182.60000030994405
060014221001,"1 (Tract 4221, Alameda, CA)",41.871998786926284
060014222001,"1 (Tract 4222, Alameda, CA)",67.57600182890894
060014223001,"1 (Tract 4223, Alameda, CA)",34.360000395774854
060014224001,"1 (Tract 4224, Alameda, CA)",35.296000975370404
060014225001,"1 (Tract 4225, Alameda, CA)",34.32000173628332
060014227001,"1 (Tract 4227, Alameda, CA)",9.120000046491624
060014228001,"1 (Tract 4228, Alameda, CA)",3.31999964118004
060014229011,"1 (Tract 4229.01, Alameda, CA)",10.079999953508377
060014229021,"1 (Tract 4229.02, Alameda, CA)",21.8399995803833
060014230001,"1 (Tract 4230, Alameda, CA)",34.12000255584718
060014231001,"1 (Tract 4231, Alameda, CA)",139.60000462532048
060014232001,"1 (Tract 4232, Alameda, CA)",69.76000003814698
060014233001,"1 (Tract 4233, Alameda, CA)",112.6799994945526
060014234001,"1 (Tract 4234, Alameda, CA)",45.24000034332278
060014235001,"1 (Tract 4235, Alameda, CA)",53.0160018324852
060014236011,"1 (Tract 4236.01, Alameda, CA)",56.20000059604647
060014236021,"1 (Tract 4236.02, Alameda, CA)",61.12799994945527
060014237001,"1 (Tract 4237, Alameda, CA)",3.159999823570246
060014238001,"1 (Tract 4238, Alameda, CA)",37.84000000953675
060014239011,"1 (Tract 4239.01, Alameda, CA)",81.2320016026497
060014239021,"1 (Tract 4239.02, Alameda, CA)",6.9920002341270475
060014240011,"1 (Tract 4240.01, Alameda, CA)",92.40000042915345
060014240021,"1 (Tract 4240.02, Alameda, CA)",232.8800008714199
060014251011,"1 (Tract 4251.01, Alameda, CA)",119.23999938964845
060014251021,"1 (Tract 4251.02, Alameda, CA)",76.77600183486942
060014251031,"1 (Tract 4251.03, Alameda, CA)",79.32000184059142
060014251041,"1 (Tract 4251.04, Alameda, CA)",66.97600238323213
060014261001,"1 (Tract 4261, Alameda, CA)",59.999999999999986
060014262001,"1 (Tract 4262, Alameda, CA)",133.11999983787527
060014301011,"1 (Tract 4301.01, Alameda, CA)",336.8000103235242
060014301021,"1 (Tract 4301.02, Alameda, CA)",487.4240055561081
060014302001,"1 (Tract 4302, Alameda, CA)",226.32000551223717
060014303001,"1 (Tract 4303, Alameda, CA)",47.480001020431445
060014304001,"1 (Tract 4304, Alameda, CA)",81.8800012588501
060014305001,"1 (Tract 4305, Alameda, CA)",357.8160059332844
060014306001,"1 (Tract 4306, Alameda, CA)",127.40799967646583
060014307001,"1 (Tract 4307, Alameda, CA)",68.12000017166137
060014308001,"1 (Tract 4308, Alameda, CA)",83.08000087738027
060014309001,"1 (Tract 4309, Alameda, CA)",237.1600017786023
060014310001,"1 (Tract 4310, Alameda, CA)",62.82400121688845
060014311001,"1 (Tract 4311, Alameda, CA)",118.39999971389759
060014312001,"1 (Tract 4312, Alameda, CA)",68.12000060081476
060014321001,"1 (Tract 4321, Alameda, CA)",231.29600284099553
060014322001,"1 (Tract 4322, Alameda, CA)",84.20000209808352
060014323001,"1 (Tract 4323, Alameda, CA)",41.520000362396246
060014324001,"1 (Tract 4324, Alameda, CA)",134.51999955177297
060014325011,"1 (Tract 4325.01, Alameda, CA)",94.57600195407866
060014325021,"1 (Tract 4325.02, Alameda, CA)",228.88000367879852
060014326011,"1 (Tract 4326.01, Alameda, CA)",81.23999980688097
060014326021,"1 (Tract 4326.02, Alameda, CA)",66.04000139236453
060014327001,"1 (Tract 4327, Alameda, CA)",19.8
060014328001,"1 (Tract 4328, Alameda, CA)",77.64000074863432
060014330001,"1 (Tract 4330, Alameda, CA)",137.03999989032735
060014331021,"1 (Tract 4331.02, Alameda, CA)",175.96800297498694
060014331031,"1 (Tract 4331.03, Alameda, CA)",180.64000422656542
060014331041,"1 (Tract 4331.04, Alameda, CA)",54.88000113368037
060014332001,"1 (Tract 4332, Alameda, CA)",561.0000041484838
060014333001,"1 (Tract 4333, Alameda, CA)",159.111999517679
060014334001,"1 (Tract 4334, Alameda, CA)",197.85600137710554
060014335001,"1 (Tract 4335, Alameda, CA)",193.32000496387462
060014336001,"1 (Tract 4336, Alameda, CA)",32.36000068187715
060014337001,"1 (Tract 4337, Alameda, CA)",151.72000321149815
060014338011,"1 (Tract 4338.01, Alameda, CA)",162.91200336217867
060014338021,"1 (Tract 4338.02, Alameda, CA)",167.92000433802608
060014339001,"1 (Tract 4339, Alameda, CA)",163.64000053405755
060014340001,"1 (Tract 4340, Alameda, CA)",218.32000458240478
060014351021,"1 (Tract 4351.02, Alameda, CA)",192.20000365972498
060014351031,"1 (Tract 4351.03, Alameda, CA)",344.64000645875956
060014351041,"1 (Tract 4351.04, Alameda, CA)",264.04000939130754
060014352001,"1 (Tract 4352, Alameda, CA)",256.9520016670224
060014353001,"1 (Tract 4353, Alameda, CA)",92.52000086307518
060014354001,"1 (Tract 4354, Alameda, CA)",188.76000165939325
060014355001,"1 (Tract 4355, Alameda, CA)",49.28000199794769
060014356011,"1 (Tract 4356.01, Alameda, CA)",161.76000022888164
060014356021,"1 (Tract 4356.02, Alameda, CA)",97.7599999427795
060014357001,"1 (Tract 4357, Alameda, CA)",143.8400020599365
060014358001,"1 (Tract 4358, Alameda, CA)",101.72000209093093
060014359001,"1 (Tract 4359, Alameda, CA)",156.9200004339216
060014360001,"1 (Tract 4360, Alameda, CA)",94.80000011920929
060014361001,"1 (Tract 4361, Alameda, CA)",84.64000110626223
060014362001,"1 (Tract 4362, Alameda, CA)",91.23999900817874
060014363011,"1 (Tract 4363.01, Alameda, CA)",173.36000294685354
060014363021,"1 (Tract 4363.02, Alameda, CA)",87.53600462675097
060014364021,"1 (Tract 4364.02, Alameda, CA)",96.00000112056716
060014364031,"1 (Tract 4364.03, Alameda, CA)",80.4000015258789
