node,additional_capacity_kW,original_demand_kW,upgraded
060014072002,1051.0777,879.8400191307062,True
060014501012,3013.848,3013.84795160294,True
060014251033,1085.376,542.6880235433578,True
060014066022,736.00002,736.0000243902201,True
060014307003,923.18002,923.1800183713434,True
060014507501,5478.416,2739.208011305337,True
060014050002,855.99999,427.9999947071075,True
060014049004,411.48801,411.48800592422464,True
060014426011,2026.4274,736.7040003657341,True
060014312001,1591.92,1591.9200265049944,True
060014016001,766.17603,766.1760323047636,True
060014402001,3645.92,1822.9600211620354,True
060014239021,528.77201,528.7720057010652,True
060014415231,1335.488,667.7440187454222,True
060014325021,1554.7246,1403.1360162735007,True
060014103003,1585.5897,1105.8640003681176,True
060014423011,1309.8671,958.0800081729901,True
060014403041,650.4,650.3999982357026,True
060014331043,1106.176,1106.1760156154628,True
060019819001,5561.312,5561.312005996704,True
060014086002,1428.008,1428.0080086231253,True
060014206002,587.13601,587.1360088348388,True
060014075003,859.32802,564.1600024223325,True
060014307001,1369.92,684.9600000381467,True
060014325013,1263.856,1263.8560482978837,True
060014048001,587.95601,587.9560058712959,True
060014098003,772.80001,772.8000116348268,True
060014504003,5194.9974,4270.240068820123,True
060014441004,3341.5414,2113.088022196294,True
060014227001,233.44,233.4400043487549,True
060014045023,1212.064,1212.064018154147,True
060014028022,374.656,374.65600152015674,True
060014056001,184.96,184.96000118255614,True
060014422002,1675.296,1675.2960036993047,True
060014099004,943.71201,943.7120134353654,True
060014507434,176.00615,1745.9280161857625,True
060014232001,804.35997,715.9040021181103,True
060014415031,7.1399708,990.5800167560576,True
060014403073,757.92001,757.9200140953066,True
060014301014,1117.4,1117.4000092506437,True
060014351022,1918.524,1918.5240325450923,True
060014445004,1372.192,1372.1920104742055,True
060014229021,1210.4,605.200010037422,True
060014517042,2118.432,1368.160010766987,True
060014070005,288.384,288.38400011062623,True
060014338021,1224.608,1224.6080179929736,True
060014421002,610.56001,610.5600091695786,True
060014379002,1720.2133,925.76000906229,True
060014101002,2028.9824,1359.200017428399,True
060014056003,491.39201,491.39200506210307,True
060014303002,76.163967,1498.8480100154886,True
060014217002,450.752,450.75199826955793,True
060014403342,1958.08,979.040011787416,True
060014099002,1077.2256,871.752003085613,True
060014312003,1992.56,1992.560007190706,True
060014338011,618.09999,618.0999943971632,True
060014377023,522.01601,522.0160117626187,True
060014102002,1290.72,725.120003938675,True
060014376001,2771.4374,1530.5200232982638,True
060014325012,810.62403,810.6240250587457,True
060014060004,1049.792,1049.7920015811915,True
060014236021,671.04001,335.5200040578842,True
060014051005,511.66002,410.5600076675411,True
060014403071,2198.4,1099.2000072479273,True
060014506011,555.07201,555.0720100402827,True
060014417022,3407.8214,2084.1600288867953,True
060014090002,12539.204,12539.204342073332,True
060014303003,1012.57,515.3600194454189,True
060014202001,749.85601,749.8560131788249,True
060014507452,226.00794,1115.040005493167,True
060014506091,2415.344,2415.3440314054496,True
060014309001,1121.7173,2583.3600733786843,True
060014512014,887.86578,554.9120113372801,True
060014430021,291.40793,1818.072010803226,True
