from_node,to_node,flow_kW,distance_km,cost
060014071021,060014070003,6607.6161,0.3724872623827656,2461.252831965286
060014065002,060014066012,6507.5329,0.5204789925711347,3387.034167915515
060014061001,060014062022,6453.4081,0.6330473005976803,4085.312577360205
060014033022,060014034021,6291.5441,0.8951681718499759,5631.990030110502
060014364022,060014351021,6235.06,0.43726495621306544,2726.373237885836
060014035011,060014035012,6193.1404,0.48415769869169833,2998.4566037385844
060014087004,060014087005,6150.4826,0.39986406791999296,2459.356992107135
060014507512,060014507501,6147.4442,0.968566441053371,5954.2081503681875
060014034011,060014037012,5940.8001,0.21086480554943057,1252.7056578945378
060014066014,060014068004,5915.0201,0.5367600992028123,3174.9467756626286
060014070003,060014070002,5858.5281,0.41604409431201794,2437.4060173660073
060014415031,060014415032,5605.2999,2.9082345553974287,16301.526862545752
060014034021,060014029002,5587.6401,0.37954899068769576,2120.783160281095
060014307002,060014302004,5562.6241,0.996839693050787,5545.044500400911
060014515052,060014515061,5450.7808,0.8199093618991392,4469.14620758008
060014038003,060014038004,5443.7881,0.567797344834044,3090.968429019165
060014033022,060014060003,5427.7881,0.749718061851057,4069.310774470231
060014065003,060014065001,5415.3161,0.6784879937918139,3674.2269564375097
060014403331,060014384002,5380.5489,1.150685021584624,6191.317027133625
060014061003,060014061004,5379.7281,0.7403112349626605,3982.673153474327
060014087005,060014087002,5357.9705,0.6836365039653248,3662.904220969344
060014442001,060014441003,5333.2653,0.6758982055519346,3604.7444460024
060014442002,060014443011,5309.344,0.5018660852574323,2664.5796885650366
060014066012,060014066013,5292.4929,0.5017171730452864,2655.3345761502496
060014068004,060014068002,5278.668,0.49935189223346976,2635.912854272265
060014415253,060014415032,5251.468,2.6376302476016744,13851.43084111227
060014037012,060014036002,5179.2961,0.32904883069152946,1704.2413255101987
060014501022,060014507512,5052.3163,0.9902928203077239,5003.272557813685
060014029002,060014029001,4985.9281,0.3548565961163588,1769.2894740469042
060014501011,060014507432,4904.0161,1.2546650055230666,6152.897387191707
060014033022,060014033012,4885.3761,0.5199356783562709,2540.081336579013
060014089001,060014095001,4864.0001,0.427417646713098,2078.9594763542736
060014361002,060014362002,4785.3761,0.6118434310896694,2927.9009320785012
060014061001,060014072001,4726.896,0.8304538988039186,3925.4692124406474
060014035012,060014035013,4680.9804,0.37011768396383066,1732.5136243280858
060014062022,060014062021,4651.4641,0.3591695926049218,1670.6644658134194
060014229011,060014229012,4618.3282,0.19666959076857152,908.2847171289535
060014403051,060014403043,4572.328,0.6366278434071614,2910.8713139901797
060014251042,060014251041,4565.6401,0.6063379811015265,2768.321000670171
060014033012,060014030002,4564.576,0.36163554026288947,1650.712907831019
060019820001,060014026001,4510.404,1.6323617473855019,7362.610954854558
060014332001,060014333001,4422.5064,0.5533199009673898,2447.0608032756477
060014324002,060014334001,4404.5338,0.9567570651646562,4214.068831906531
060014371013,060014371022,4396.6321,0.5629893200647547,2475.2569165538744
060014512011,060014512012,4395.328,0.9928857276311653,4364.058439457635
060014036002,060014036003,4395.2321,0.3562660415632375,1565.8719420186756
060014103003,060014093001,4391.8742,0.4921489244123794,2161.456163684479
060014353001,060014353002,4356.4161,0.43231463831808453,1883.3424506345805
060014403341,060014403332,4356.2561,0.8837659636891797,3849.910870293367
060014066013,060014067003,4354.8609,0.43043048504314146,1874.4648894824115
060014087002,060014086001,4335.4105,0.5580906677384806,2419.55214086542
060014403013,060014403014,4311.86,0.9673771604667949,4171.194883130354
060014327002,060014327003,4296.1679,0.402678738161295,1729.9754689010608
060014061004,060014059011,4290.024,0.7919607067760719,3397.530439126311
060014053012,060014053013,4288.5601,0.2234481209687077,958.2706960063731
060014442003,060014415242,4274.9692,1.2694089716696764,5426.684256091538
060014068002,060014068001,4252.092,0.46047493986111726,1957.9818079839376
060014105001,060014024002,4231.1601,0.720230090516165,3047.408821811386
060014446012,060014427003,4213.0961,0.6144993058318741,2588.9446288529757
060014072004,060014062023,4198.0001,0.5489991644238608,2304.698547151284
060014090003,060014090001,4189.032,1.7344046411314376,7265.476542648108
